timestamp,cell_id,voltage_v,current_a,temperature_c
2024-01-15 08:00:00,1,3.65,2.5,25.3
2024-01-15 08:00:00,2,3.64,2.5,25.5
2024-01-15 08:00:00,3,3.66,2.5,25.1
2024-01-15 08:00:00,4,3.65,2.5,25.4
2024-01-15 08:01:00,1,3.68,2.5,25.6
2024-01-15 08:01:00,2,3.67,2.5,25.8
2024-01-15 08:01:00,3,3.69,2.5,25.4
2024-01-15 08:01:00,4,3.68,2.5,25.7
2024-01-15 08:02:00,1,3.71,2.5,26.0
2024-01-15 08:02:00,2,3.70,2.5,26.2
2024-01-15 08:02:00,3,3.72,2.5,25.8
2024-01-15 08:02:00,4,3.71,2.5,26.1
2024-01-15 08:03:00,1,3.74,2.4,26.4
2024-01-15 08:03:00,2,3.73,2.4,26.6
2024-01-15 08:03:00,3,3.75,2.4,26.2
2024-01-15 08:03:00,4,3.74,2.4,26.5
2024-01-15 08:04:00,1,3.77,2.3,26.8
2024-01-15 08:04:00,2,3.76,2.3,27.0
2024-01-15 08:04:00,3,3.78,2.3,26.6
2024-01-15 08:04:00,4,3.77,2.3,26.9
